,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MPND,0.20893928987775004,-0.5382045548742191,1.4493576222248103,-0.3713400658479706,0.7103842596327739,0.9999414166694955
MPLKIP,0.40682180670762025,1.1577106270337467,0.9146120067422869,1.2657942586576587,0.20558675114751945,0.9999414166694955
MPI,0.1387868222346114,-0.08714387001030593,1.5962511771736438,-0.054592830537237076,0.9564628506447,0.9999414166694955
MPHOSPH8,1.0192972366469504,0.7391452357342672,0.5410671220279095,1.366087876424582,0.17191138307792064,0.9999414166694955
MPHOSPH6,0.2066320641984721,-0.1961862721279947,1.2895447824015713,-0.15213606755294615,0.8790796175024707,0.9999414166694955
MRPL22,0.4581720608270646,-0.5280684105338916,0.87820864003034,-0.6013017709728385,0.5476390102368596,0.9999414166694955
MRPL21,0.43489479123299013,0.6077249113264618,0.6746529262452836,0.9007963764549228,0.3676965945258104,0.9999414166694955
MRPL20,1.1558095811542424,0.292156722656962,0.6412623664480054,0.45559623945380956,0.6486803478385378,0.9999414166694955
MRPL2,0.22457811348599568,-0.6040523751740045,1.474514144163207,-0.40966197412559013,0.6820539281077403,0.9999414166694955
MRPL19,0.5393518750911379,1.105610579563743,0.9103070575966735,1.2145468612345987,0.22453896655846683,0.9999414166694955
MRPL18,0.5040819669933375,0.46249434868769024,0.8237715382677444,0.5614352125593457,0.5745008849291745,0.9999414166694955
MRPL17,0.450504304404651,-0.039200828783266625,0.9240990651669663,-0.042420591320676014,0.966163413622561,0.9999414166694955
MRPL16,0.864759421838934,0.7416747573201442,0.5981399113464047,1.2399686816595212,0.21498697823156787,0.9999414166694955
MRPL15,0.24607937323206114,0.0016823224955906163,0.9652854690505527,0.0017428238065629806,0.9986094284965055,0.9999414166694955
MRPL14,0.4387341581461698,0.8132874242058902,0.8750539830627658,0.9294140018188508,0.3526745742223365,0.9999414166694955
MRPL13,0.31912983797589345,0.29407748430381436,0.9390078935577955,0.3131789267389306,0.7541447277272786,0.9999414166694955
MRPL11,0.3389503907270603,0.5540967328817857,1.0489256484165193,0.5282516770547675,0.5973246662155653,0.9999414166694955
MRPL10,0.25588910283048655,-0.12098704876891792,1.0491160010185807,-0.11532285147824671,0.9081892263381616,0.9999414166694955
MRPL1,0.26762785076413914,-0.5118154883707686,1.1565249481099273,-0.4425459988625517,0.6580941517838843,0.9999414166694955
MRNIP,0.16786141381617709,-0.18355576962118766,1.4678613775658973,-0.1250497985890001,0.9004841261459291,0.9999414166694955
MRM2,0.37538418128243156,0.3629593101414004,0.9824514461617748,0.36944249159528836,0.7117979308624458,0.9999414166694955
MRPL41,0.2728525037550259,1.091576008356634,0.9234358439039668,1.1820810460874345,0.2371735442901911,0.9999414166694955
MRPL40,0.4526081518084337,0.5206660246108302,0.815532409773504,0.6384369503542277,0.5231892843218127,0.9999414166694955
MRPL4,0.31543977445887056,0.533501841961793,0.9374887575764248,0.5690754557323867,0.5693049341419837,0.9999414166694955
MRPL39,0.42555355362071906,0.7390897542875897,0.8243710019178081,0.8965499181414424,0.36995913228926103,0.9999414166694955
MRPL37,0.30750905420675845,0.305656865346025,0.8477315585624199,0.36055855448434265,0.7184294766875359,0.9999414166694955
MRPL36,0.2653399268319781,-0.6569702423922853,1.344574321228624,-0.48860835137173325,0.6251189993527024,0.9999414166694955
MRPL35,0.23714182718180835,0.36786317005435654,1.122999846874906,0.32757187908622554,0.7432353870096939,0.9999414166694955
MRPL34,0.6457633407510279,0.08994774238474144,0.6388368603054445,0.14079923682195655,0.8880285459875205,0.9999414166694955
MRPL33,0.7482205201609315,0.17482237267219716,0.5934775775787076,0.2945728352289974,0.7683202161699246,0.9999414166694955
MRPL32,0.5212141580165934,0.8660918471970152,0.8189215953933086,1.0576004492604103,0.29023763762432364,0.9999414166694955
MRPL30,0.4061603968604578,0.7524136319437512,0.8819011721016229,0.853172277967048,0.39356377424255984,0.9999414166694955
MRPL3,0.4881086757649793,0.03067753585269411,0.8522577796055819,0.035995606712902556,0.9712858620210033,0.9999414166694955
MRPL28,0.1363260567621434,-0.3515573229594189,1.4447057368194407,-0.24334181972128247,0.8077406103625479,0.9999414166694955
MRPL27,0.5685366767349067,0.32476406854891754,0.7163953304535345,0.4533308003882666,0.6503105573158998,0.9999414166694955
MRPL24,0.5059620757755597,-0.4980502323940096,0.9413418744789878,-0.5290853895877834,0.596746216236818,0.9999414166694955
MRPL23,0.6893396833295163,1.33653511364155,0.7861034322738556,1.7002026180900072,0.08909281999161196,0.9999414166694955
MRPL9,0.4548610932098763,-0.6354683957928738,0.6930997216971604,-0.9168498787401508,0.35922131125915524,0.9999414166694955
MRPL58,0.3705940366905639,0.17815388365837276,0.8697184499541524,0.20484086967197745,0.837696454611414,0.9999414166694955
MRPL55,0.41331485789916517,1.3677413479222826,0.9697394477607809,1.410421480822014,0.15841526628767388,0.9999414166694955
MRPL54,0.8689425482759959,0.09145946882773899,0.591061914515033,0.15473754370179915,0.8770282308530755,0.9999414166694955
MRPL52,1.1251774507385317,-0.2837638600733257,0.5120284758967639,-0.5541954665242851,0.5794450805872338,0.9999414166694955
MRPL51,0.9864402132759634,1.0697653507664246,0.5971625228422601,1.7914140788252415,0.07322687131606385,0.9999414166694955
MRPL50,0.19914527925419762,0.14070113503507534,1.0130761156090222,0.138885057960814,0.8895409785484518,0.9999414166694955
MRPL49,0.38332162883641724,1.0885351289342111,0.8535862536066244,1.275249131924122,0.20222107612427043,0.9999414166694955
MRPL48,0.41438131435173126,0.08884211065796017,0.8731817421949287,0.10174526832711431,0.9189588696354796,0.9999414166694955
MRPL47,0.2941376588406274,0.5125639395968387,0.9200291034347541,0.5571170930172518,0.5774474297072352,0.9999414166694955
MRPL46,0.31217537080753044,0.2212196171564068,0.9044525404133268,0.24458952490233643,0.806774275667306,0.9999414166694955
MRPL45,0.35628698729325825,0.47365546531650016,1.0878768784369188,0.43539436741872567,0.663276198103834,0.9999414166694955
MRPL44,0.510405664940802,0.2987228320728544,0.8249936450497418,0.36209107047708633,0.717283976282258,0.9999414166694955
MRPL43,0.5336043114655282,0.6728595234511655,0.7110842639115428,0.9462444292465283,0.3440239298571727,0.9999414166694955
MRPL42,0.44420169683982225,0.2879972637542954,0.8456762158123965,0.34055263512127,0.7334403917253178,0.9999414166694955
MRPS25,0.4349682549438214,0.5224472571909173,0.9797569964955002,0.5332416701893048,0.5938662995340576,0.9999414166694955
MRPS24,0.797174624642051,-0.20899445415146028,0.5482398153110002,-0.3812099163810347,0.7030474914879363,0.9999414166694955
MRPS23,0.5693601802074214,0.05510107375050593,0.7412006102276839,0.07434029733674914,0.9407396130851037,0.9999414166694955
MRPS22,0.5033281571804642,-1.0283671229996005,0.7958956897589815,-1.2920878153153683,0.19632673506752074,0.9999414166694955
MRPS21,1.4568145350620523,-0.4303108257929979,0.4634567449389569,-0.9284810944971257,0.353158070072069,0.9999414166694955
MRPS2,0.2146957414521467,-0.17861227926640746,1.0773687366750877,-0.16578565275397744,0.8683256373154075,0.9999414166694955
MRPS18C,0.6135080089969203,1.1819680737551015,0.6921804479242241,1.70760107035629,0.08771038965193638,0.9999414166694955
MRPS18B,1.3287560983632152,0.08073459643992853,0.5032725768018806,0.16041922441506423,0.8725508468350999,0.9999414166694955
MRPS18A,0.27985560297476414,0.34404566495653155,1.301417927487887,0.2643621681319845,0.7915008602680811,0.9999414166694955
MRPS17,0.2829277235042537,0.2185096654824041,1.1347303919040763,0.19256527104711205,0.8472994455084516,0.9999414166694955
MRPS16,0.3721089730178878,-0.3731437834224151,1.0506953254088092,-0.3551398530085119,0.7224848216746744,0.9999414166694955
MRPS15,0.5147074632508437,1.331156248095822,0.7751449568111428,1.717299759740482,0.08592441592684208,0.9999414166694955
MRPS14,0.2870607318658318,0.6830740785757358,0.8619665137596191,0.7924601103079836,0.4280924419807345,0.9999414166694955
MRPS12,0.287196149928648,0.26785788917122977,0.9916709543022478,0.27010762794771775,0.787077453901549,0.9999414166694955
MRPS11,0.23588153239018278,-0.7927018926108346,1.062425000109019,-0.7461250370891995,0.45559188620965085,0.9999414166694955
MRPS10,0.27141355141444495,0.5886280969609202,1.153621194893707,0.51024383009464,0.6098806490137059,0.9999414166694955
MRTO4,0.25259816234909355,-0.5740293696057709,1.0105771464364977,-0.5680213248735302,0.5700204879903039,0.9999414166694955
MRS2,0.2695080226203186,0.23120768051240997,0.9947346637772705,0.23243151056428785,0.8162028770864722,0.9999414166694955
